lambda,seed_index,phase,final_edges,final_components,final_largest,final_diameter,final_info,final_score,final_gap,final_degree_variance,stable_edge_count,stable_topology
0.16,9,fragmented_sparse,1,5,2,,0.03175420226387138,-1.1282536402978285,0.0,0.00022407319142552312,True,True
0.16,10,sparse_geometric,5,1,6,4,0.29852144188207264,-0.4998053594137687,0.009902885310468207,0.003123447192160274,True,True
0.16,11,sparse_geometric,5,1,6,5,0.22954179453950208,-0.5691616312787585,0.007347111035880062,0.000740165849112087,True,True
0.16,12,fragmented_sparse,4,2,5,,0.14767637418297044,-0.7423554376293385,2.7736955758835764e-17,0.0009089089231120103,True,True
0.16,13,fragmented_sparse,2,4,2,,0.06485953996327018,-1.0051495391750096,0.0,0.0002594039508457366,True,True
0.16,14,fragmented_sparse,3,3,3,,0.11191664887153177,-0.8681254388190864,0.0,0.0012025054462336247,True,True
0.16,15,sparse_geometric,5,1,6,4,0.3509444695608006,-0.44479056974135134,0.024146809921225556,0.002327573942071823,True,True
0.16,16,fragmented_sparse,3,3,4,,0.1323179306552731,-0.8477374737064627,8.952673579213436e-35,0.0015829817638803305,True,True
0.16,17,sparse_geometric,5,1,6,5,0.2918313542034568,-0.5063622471789981,0.010550093973264627,0.0026462370755013995,True,True
0.16,18,sparse_geometric,5,1,6,5,0.3039741116036062,-0.49394662248475474,0.01223890555056221,0.0035353453560600843,True,True
0.16,19,sparse_geometric,5,1,6,5,0.21594743237638026,-0.5839271181790022,0.0010207341145011665,0.0016652198855023695,True,True
0.2,0,fragmented_sparse,4,2,5,,0.19200240464052226,-0.8580596770456409,1.1862066085429905e-17,0.001773762461802118,True,True
0.2,1,fragmented_sparse,3,3,4,,0.059233162729901756,-1.0407812090232114,0.0,0.0004106215175203121,True,True
0.2,2,sparse_geometric,5,1,6,3,0.2850214018041616,-0.7147676006766116,0.0025129208779635257,0.006895092537331556,True,True
0.2,3,fragmented_sparse,4,2,5,,0.271982029430336,-0.7781645113477588,8.909781512008534e-19,0.004186879374135636,True,True
0.2,4,fragmented_sparse,4,2,5,,0.27694877923448635,-0.7733091693144553,0.0,0.007369958541187972,True,True
0.2,5,fragmented_sparse,5,2,5,,0.8927709272377446,-0.3600188338478748,0.0,0.07970745958912744,True,True
0.2,6,sparse_geometric,5,1,6,5,0.2786733556249337,-0.7199831995134767,0.008090263667897921,0.0032229313894872364,True,True
0.2,7,fragmented_sparse,4,2,4,,0.11160025661444734,-0.9384401217005893,6.9050125859816655e-18,0.0011536661439057495,True,True
0.2,8,sparse_geometric,5,1,6,4,0.2473201950117059,-0.7513599100674069,0.007944185904998834,0.0031445297717875623,True,True
0.2,9,fragmented_sparse,1,5,2,,0.03175420226387138,-1.1682536402978285,0.0,0.00022407319142552312,True,True
0.2,10,sparse_geometric,5,1,6,4,0.29852144188207264,-0.6998053594137688,0.009902885310468207,0.003123447192160274,True,True
0.2,11,sparse_geometric,5,1,6,5,0.22954179453950208,-0.7691616312787585,0.007347111035880062,0.000740165849112087,True,True
0.2,12,fragmented_sparse,4,2,5,,0.14767637418297044,-0.9023554376293386,2.7736955758835764e-17,0.0009089089231120103,True,True
0.2,13,fragmented_sparse,2,4,2,,0.06485953996327018,-1.0851495391750094,0.0,0.0002594039508457366,True,True
0.2,14,fragmented_sparse,3,3,3,,0.11191664887153177,-0.9881254388190865,0.0,0.0012025054462336247,True,True
0.2,15,sparse_geometric,5,1,6,4,0.3509444695608006,-0.6447905697413513,0.024146809921225556,0.002327573942071823,True,True
0.2,16,fragmented_sparse,3,3,4,,0.1323179306552731,-0.9677374737064628,8.952673579213436e-35,0.0015829817638803305,True,True
0.2,17,sparse_geometric,5,1,6,5,0.2918313542034568,-0.7063622471789981,0.010550093973264627,0.0026462370755013995,True,True
0.2,18,sparse_geometric,5,1,6,5,0.3039741116036062,-0.6939466224847547,0.01223890555056221,0.0035353453560600843,True,True
0.2,19,sparse_geometric,5,1,6,5,0.21594743237638026,-0.7839271181790022,0.0010207341145011665,0.0016652198855023695,True,True
